model,model_key,layer,iteration_type,iteration,loss,js_divergence,total_variation_distance,negative_log_likelihood,target_support_probability,mode_coverage,entropy,grad_norm,step_time_s,epoch_time_s
MZI,MZI,1,step,77,0.6246567801080116,0.20121296697089922,0.371663165880415,2.6990710322872773,0.6507296744839203,6.0,2.395223930432034,0.08509109303463004,0.023050308227539062,
MZI,MZI,1,step,78,0.6203145300860158,0.19906013155246222,0.37285722194154103,2.684076916243177,0.6547331365035489,6.0,2.3896569894112267,0.09133197643704119,0.023813486099243164,
MZI,MZI,1,step,79,0.6152508391447344,0.19702268045867194,0.3763037509847444,2.662753140912169,0.656599668958982,6.0,2.3890299847529617,0.0992006216409306,0.019503116607666016,
MZI,MZI,1,step,80,0.6096302258276619,0.19507551088265526,0.3818084614807958,2.6364286124731127,0.6566488730195437,6.0,2.392167770545005,0.10876618565641007,0.02578139305114746,
MZI,MZI,1,step,81,0.6036561377984192,0.19313187212688726,0.38902709545706604,2.607152739324524,0.6557637750055478,6.0,2.3964561491233067,0.1205606180991103,0.024218320846557617,
MZI,MZI,1,step,82,0.5974936460368306,0.19108681036449143,0.39753845385392694,2.5768660865309525,0.6550624807901215,6.0,2.3989174169263383,0.13504942565624214,0.027172565460205078,
MZI,MZI,1,step,83,0.5913671187621083,0.18893877502025333,0.4065526217850756,2.5473380843506748,0.6552435450514553,6.0,2.397927882107336,0.15192593889701042,0.020398616790771484,
MZI,MZI,1,step,84,0.5854965642995067,0.18669591813715158,0.4134602701125939,2.520850884378169,0.6564238257788664,6.0,2.3945579735057105,0.17046038101599828,0.024547815322875977,
MZI,MZI,1,step,85,0.5787619442965022,0.1834888934030448,0.41228811010481137,2.4977243025881126,0.6598040191423735,6.0,2.3915908160545847,0.189309768672094,0.027170658111572266,
MZI,MZI,1,step,86,0.5699444448127767,0.17866841572454276,0.40121242143184077,2.474769386777613,0.6660694075685918,6.0,2.3893549721775766,0.20067065063417508,0.019440412521362305,
MZI,MZI,1,step,87,0.5605176319835007,0.17330096069621745,0.3840197196665144,2.453437902026383,0.6736764713593129,6.0,2.386060084034934,0.19873041580368972,0.024573564529418945,
MZI,MZI,1,step,88,0.55242770532535,0.16855212955109566,0.36548716891992933,2.4373414488550527,0.681739338155831,6.0,2.379743122051328,0.1905312841423117,0.020452260971069336,
MZI,MZI,1,step,89,0.5461041501778219,0.16463721792435299,0.3501192713064477,2.4264064579209768,0.6904979049598807,6.0,2.3703723244675223,0.1849905778040442,0.021550416946411133,
MZI,MZI,1,step,90,0.5408309850446646,0.16117689679898278,0.34034237514369137,2.4175797965899815,0.6999780379985636,6.0,2.3602795907540215,0.18215022242553897,0.026497840881347656,
MZI,MZI,1,step,91,0.5360348155604642,0.15793994221052665,0.33571677062588834,2.4087268987909543,0.7095751941015525,6.0,2.3509698435880217,0.17716480703566062,0.023925304412841797,
MZI,MZI,1,step,92,0.5314367348376542,0.15486670129178748,0.33406047084261875,2.399113400024905,0.7186840205777488,6.0,2.3422099195955868,0.16992173282767714,0.024736881256103516,
MZI,MZI,1,step,93,0.5270383661946305,0.15205852264749045,0.3330529285326701,2.388847980803377,0.726389793505111,6.0,2.3341727093075466,0.1617270030326639,0.02472972869873047,
MZI,MZI,1,step,94,0.5230442030497992,0.1497503003461001,0.3307569208778853,2.378373711065365,0.7312353634875228,6.0,2.329045515731436,0.15392147921367755,0.0280911922454834,
MZI,MZI,1,step,95,0.5191819072670459,0.1478825265053187,0.3252251208359581,2.366920831466195,0.7324483439625216,6.0,2.330155289283158,0.15044449866168744,0.01866292953491211,
MZI,MZI,1,step,96,0.5149315724370083,0.14607977112534712,0.31832661258865386,2.3529031378815235,0.7306632811484854,6.0,2.339097374323463,0.15031750021190887,0.02164149284362793,
MZI,MZI,1,step,97,0.5102827908622681,0.14436852279366735,0.30994113239321985,2.336114742992932,0.7261723465385379,6.0,2.356093705512371,0.1408317233150387,0.024018287658691406,
MZI,MZI,1,step,98,0.5060282130687545,0.14301440558881906,0.3037463088080897,2.3188432802635393,0.7196528164878906,6.0,2.3777708165331735,0.1311201234789056,0.02246999740600586,
MZI,MZI,1,step,99,0.5026272645230918,0.14191092499140473,0.3041584221423864,2.303389456163785,0.7133714887570528,6.0,2.3978291619127257,0.12074004444951351,0.02503371238708496,
MZI,MZI,1,step,100,0.4992287464327855,0.1405931752909526,0.30672322479233327,2.2886627326814413,0.7086848770220618,6.0,2.4138201473916396,0.12093407871744637,0.023525714874267578,
MZI,MZI,1,step,101,0.4949912808529535,0.13858665588598576,0.3068177253483877,2.2737582579969895,0.7070957827475113,6.0,2.4232927667628528,0.12522208279431546,0.023280620574951172,
MZI,MZI,1,step,102,0.4900379436726525,0.13604081298890694,0.3025135790312564,2.259143011547885,0.7081121890937855,6.0,2.42727749080815,0.12147356284260688,0.018275737762451172,
MZI,MZI,1,step,103,0.48487435444746785,0.13327700701795045,0.2948741727316185,2.245690925286243,0.7108547280928814,6.0,2.4274700115433694,0.11482916798707411,0.024425983428955078,
MZI,MZI,1,step,104,0.479850994775272,0.1305329898570844,0.28561775315989246,2.23358078173462,0.7143822468401075,6.0,2.425867689401347,0.10877210096053515,0.023201704025268555,
MZI,MZI,1,step,105,0.4755432195499336,0.12798626527184753,0.2819747281788725,2.2230547857942833,0.718130654505637,6.0,2.4234848301809206,0.10314068868342025,0.02302694320678711,
MZI,MZI,1,step,106,0.47187106955285324,0.12588203399332357,0.2798591493869511,2.2133071872678807,0.7201408506130489,6.0,2.424029620348731,0.1008474463229298,0.030693769454956055,
MZI,MZI,1,step,107,0.4688674333312687,0.12426238044609668,0.28004108444863385,2.2040199910849356,0.7199589155513663,6.0,2.427062032865557,0.09546975585188883,0.02343606948852539,
MZI,MZI,1,step,108,0.4662186741322753,0.12293322983271002,0.2820626735528309,2.194548737479492,0.7179373264471691,6.0,2.4305809964506544,0.09702208236125665,0.021188020706176758,
MZI,MZI,1,step,109,0.46368951329191654,0.12170238074277928,0.28492559808772494,2.1849390176316734,0.7150744019122751,6.0,2.4314846832047894,0.09892901060036371,0.02473926544189453,
MZI,MZI,1,step,110,0.46120539852842857,0.12047030768656276,0.28758699340080146,2.175704941145505,0.7124130065991985,6.0,2.4273803939548637,0.09911995114052508,0.0194091796875,
MZI,MZI,1,step,111,0.4586483614273815,0.1191338366253184,0.28924891029703403,2.167013861914742,0.7107510897029661,6.0,2.4177647280403294,0.09855400708801458,0.025269508361816406,
MZI,MZI,1,step,112,0.45573784227439845,0.117523167776977,0.2895589221617998,2.1582448559288765,0.7104410778382002,6.0,2.40343218351575,0.09823604744694735,0.022860050201416016,
MZI,MZI,1,step,113,0.4521801190193764,0.115473707072031,0.2884758288329078,2.148550803371333,0.7115241711670922,6.0,2.383713022932138,0.09724898083687784,0.029907703399658203,
MZI,MZI,1,step,114,0.44771869527842956,0.1128263946335115,0.2856470173541557,2.1373996651814022,0.7143529826458441,6.0,2.354600350573201,0.09584080743688228,0.03501582145690918,
MZI,MZI,1,step,115,0.4421577276949433,0.10944158282452188,0.28032542304057284,2.1246658247892856,0.7196745769594272,6.0,2.311091056590394,0.0956859795457279,0.02968883514404297,
MZI,MZI,1,step,116,0.4357409335165669,0.10546452222706601,0.27249344900476186,2.1110115922617525,0.7275065509952381,6.0,2.2536214030252353,0.09618187962362182,0.021759748458862305,
MZI,MZI,1,step,117,0.42986423503688265,0.10178787641989756,0.2643931438014808,2.099044676179407,0.7356068561985191,6.0,2.195287439730878,0.09092252857193993,0.02266240119934082,
MZI,MZI,1,step,118,0.4270790565795152,0.10003780727826946,0.2603108018543807,2.093504728056845,0.7396891981456193,6.0,2.163777459704936,0.0717148323951354,0.028825998306274414,
MZI,MZI,1,step,119,0.428406419308303,0.10086657015138434,0.2620723664097056,2.0962415389095557,0.7379276335902945,6.0,2.1769397509443085,0.05977103734233391,0.02594280242919922,
MZI,MZI,1,step,120,0.43046424961885005,0.1021514459145442,0.2648197821169305,2.100478763989729,0.7351802178830694,6.0,2.1949787334234836,0.09653256519132628,0.03909468650817871,
MZI,MZI,1,step,121,0.4293346519140626,0.10143362151047217,0.26288572537089333,2.098378294233638,0.7371142746291066,6.0,2.1837174785127953,0.12980377404796886,0.023366212844848633,
MZI,MZI,1,step,122,0.4261383837311089,0.09941453453876745,0.25779937996226504,2.0922258679615213,0.7422006200377349,6.0,2.1506863421571474,0.12299680642707095,0.019478559494018555,
MZI,MZI,1,step,123,0.4245870645560665,0.09842397137593614,0.2549493162448133,2.089437515785931,0.7450506837551867,6.0,2.129325239042382,0.08213813446985606,0.026798009872436523,
MZI,MZI,1,step,124,0.4252717307920007,0.09883814659166103,0.25540060076116516,2.0910903610818763,0.7445993992388349,6.0,2.1312035565083587,0.05718361577998081,0.027774333953857422,
MZI,MZI,1,step,125,0.4257315411456445,0.099120455831581,0.2558550855119554,2.092122206923105,0.7441449144880444,6.0,2.134540922241488,0.08000900580818056,0.02014899253845215,
MZI,MZI,1,step,126,0.4250330394203491,0.09868928548273359,0.25509492734599604,2.0905933838021045,0.7449050726540041,6.0,2.1285258017898343,0.08931146643182919,0.028664112091064453,
MZI,MZI,1,step,127,0.4244725123000648,0.09835348819119266,0.25484380430524367,2.089178892624066,0.7451561956947564,6.0,2.121995504849059,0.07619429255131316,0.019710540771484375,
