model,model_key,layer,epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_s
MZI,MZI,2,71,0.0001173966408324694,0.0005404874682426453,1.0,1.0,0.5501272678375244
MZI,MZI,2,72,0.00011460540678984086,0.0005508297472260892,1.0,1.0,0.5251379013061523
MZI,MZI,2,73,0.00011136796903364095,0.0005298484466038644,1.0,1.0,0.6021523475646973
MZI,MZI,2,74,0.00010817970801976376,0.0005165900802239776,1.0,1.0,0.518730640411377
MZI,MZI,2,75,0.00010596683018125727,0.0005122794536873698,1.0,1.0,0.537163496017456
MZI,MZI,2,76,0.00010612928984171179,0.0004368405498098582,1.0,1.0,0.5224368572235107
MZI,MZI,2,77,0.0001007476937957108,0.0004393626004457474,1.0,1.0,0.5369253158569336
MZI,MZI,2,78,9.793034176774589e-05,0.0004562277754303068,1.0,1.0,0.5277628898620605
MZI,MZI,2,79,9.508380254763844e-05,0.00044113912736065686,1.0,1.0,0.5305964946746826
MZI,MZI,2,80,9.320582705965665e-05,0.0004232941719237715,1.0,1.0,0.5086097717285156
MZI,MZI,2,81,9.04498592717573e-05,0.00043230265146121383,1.0,1.0,0.5267210006713867
MZI,MZI,2,82,8.901430358361852e-05,0.000430722429882735,1.0,1.0,0.5259532928466797
MZI,MZI,2,83,8.64165835082531e-05,0.0004093544848728925,1.0,1.0,0.518657922744751
MZI,MZI,2,84,8.442503874123629e-05,0.0003987440431956202,1.0,1.0,0.5288877487182617
MZI,MZI,2,85,8.270125545095652e-05,0.000383938750019297,1.0,1.0,0.5151758193969727
MZI,MZI,2,86,8.120644940520703e-05,0.0003919576993212104,1.0,1.0,0.5171470642089844
MZI,MZI,2,87,7.890054216009698e-05,0.0003623476077336818,1.0,1.0,0.5898082256317139
MZI,MZI,2,88,7.67308749865541e-05,0.00036140793235972524,1.0,1.0,0.5306413173675537
MZI,MZI,2,89,7.521694195539956e-05,0.0003551557310856879,1.0,1.0,0.5304758548736572
MZI,MZI,2,90,7.35486892933425e-05,0.00034848329960368574,1.0,1.0,0.5063662528991699
MZI,MZI,2,91,7.192783086793498e-05,0.0003390868951100856,1.0,1.0,0.5670351982116699
MZI,MZI,2,92,7.021588556069349e-05,0.0003315746143925935,1.0,1.0,0.5179345607757568
MZI,MZI,2,93,6.89442411904955e-05,0.00032131659099832177,1.0,1.0,0.5108327865600586
MZI,MZI,2,94,6.753306879545563e-05,0.0003102889459114522,1.0,1.0,0.531378984451294
MZI,MZI,2,95,6.60985808021256e-05,0.00030577302095480263,1.0,1.0,0.5068864822387695
MZI,MZI,2,96,6.458248525242587e-05,0.0003106703807134181,1.0,1.0,0.5206747055053711
MZI,MZI,2,97,6.361858270663236e-05,0.0002974252565763891,1.0,1.0,0.5130419731140137
MZI,MZI,2,98,6.207717701077595e-05,0.00030288068228401244,1.0,1.0,0.5123562812805176
MZI,MZI,2,99,6.109952113807335e-05,0.0003013729292433709,1.0,1.0,0.5052158832550049
MZI,MZI,2,100,5.986469820657346e-05,0.0002825277333613485,1.0,1.0,0.5123007297515869
MZI,MZI,3,1,0.4755288072994777,0.3557349443435669,0.9428571462631226,0.8333333134651184,0.8239388465881348
MZI,MZI,3,2,0.23973735528332846,0.2518463730812073,0.9571428298950195,0.8999999761581421,0.810938835144043
MZI,MZI,3,3,0.1480885116117341,0.1699737012386322,0.9714285731315613,0.8999999761581421,0.791038990020752
MZI,MZI,3,4,0.08885822828326906,0.10152383893728256,0.9857142567634583,0.9666666388511658,0.8472142219543457
MZI,MZI,3,5,0.05210233266864504,0.055235546082258224,1.0,1.0,0.8742773532867432
MZI,MZI,3,6,0.030671026185154916,0.03775228559970856,1.0,1.0,1.0059375762939453
MZI,MZI,3,7,0.02225460359560592,0.026831232011318207,1.0,1.0,0.9572129249572754
MZI,MZI,3,8,0.016068903962150216,0.01989845372736454,1.0,1.0,0.9168314933776855
MZI,MZI,3,9,0.013488617353141307,0.016354592517018318,1.0,1.0,0.9844090938568115
MZI,MZI,3,10,0.010579445186470237,0.014718519523739815,1.0,1.0,1.0001657009124756
MZI,MZI,3,11,0.011305887844147426,0.011324570514261723,1.0,1.0,0.947145938873291
MZI,MZI,3,12,0.01325957733206451,0.010729405097663403,1.0,1.0,0.9010491371154785
MZI,MZI,3,13,0.025947618185143385,0.07285009324550629,1.0,0.9666666388511658,1.0148210525512695
MZI,MZI,3,14,0.011752496972414,0.03211969509720802,1.0,1.0,1.0357120037078857
MZI,MZI,3,15,0.006550972652621567,0.019194353371858597,1.0,1.0,0.9906697273254395
MZI,MZI,3,16,0.005107170469792826,0.01416513416916132,1.0,1.0,0.9388976097106934
MZI,MZI,3,17,0.004438308726197907,0.010738695040345192,1.0,1.0,0.9658961296081543
