model,model_key,layer,state,bitstring,target_probability,generated_probability,probability_error,absolute_error,is_target_pattern
MZI,MZI,2,15,1111,0.16666666666666666,0.17852388220369206,0.0118572155370254,0.0118572155370254,True
MZI,MZI,3,0,0000,0.16666666666666666,0.15126540593850088,-0.015401260728165778,0.015401260728165778,True
MZI,MZI,3,1,0001,0.0,0.0034270256643953233,0.0034270256643953233,0.0034270256643953233,False
MZI,MZI,3,2,0010,0.0,0.003911589769075759,0.003911589769075759,0.003911589769075759,False
MZI,MZI,3,3,0011,0.16666666666666666,0.19254625562205782,0.025879588955391164,0.025879588955391164,True
MZI,MZI,3,4,0100,0.0,0.003594354789918227,0.003594354789918227,0.003594354789918227,False
MZI,MZI,3,5,0101,0.16666666666666666,0.08225638619167505,-0.0844102804749916,0.0844102804749916,True
MZI,MZI,3,6,0110,0.0,0.06236487841319134,0.06236487841319134,0.06236487841319134,False
MZI,MZI,3,7,0111,0.0,0.002568957781679561,0.002568957781679561,0.002568957781679561,False
MZI,MZI,3,8,1000,0.0,0.00220619559916377,0.00220619559916377,0.00220619559916377,False
MZI,MZI,3,9,1001,0.0,0.037149786113355225,0.037149786113355225,0.037149786113355225,False
MZI,MZI,3,10,1010,0.16666666666666666,0.08853779123589015,-0.07812887543077651,0.07812887543077651,True
MZI,MZI,3,11,1011,0.0,0.0008221091438253766,0.0008221091438253766,0.0008221091438253766,False
MZI,MZI,3,12,1100,0.16666666666666666,0.16470115175332078,-0.0019655149133458727,0.0019655149133458727,True
MZI,MZI,3,13,1101,0.0,0.0012591537404042972,0.0012591537404042972,0.0012591537404042972,False
MZI,MZI,3,14,1110,0.0,0.0018739411398182718,0.0018739411398182718,0.0018739411398182718,False
MZI,MZI,3,15,1111,0.16666666666666666,0.20151501710372824,0.03484835043706158,0.03484835043706158,True
Repeated CNOT,CNOT,1,0,0000,0.16666666666666666,0.16306650431687175,-0.0036001623497949053,0.0036001623497949053,True
Repeated CNOT,CNOT,1,1,0001,0.0,0.00247938110863273,0.00247938110863273,0.00247938110863273,False
Repeated CNOT,CNOT,1,2,0010,0.0,0.0023672004622525386,0.0023672004622525386,0.0023672004622525386,False
Repeated CNOT,CNOT,1,3,0011,0.16666666666666666,0.1618858800003343,-0.0047807866663323595,0.0047807866663323595,True
Repeated CNOT,CNOT,1,4,0100,0.0,0.001977343005312486,0.001977343005312486,0.001977343005312486,False
Repeated CNOT,CNOT,1,5,0101,0.16666666666666666,0.08266751861151493,-0.08399914805515173,0.08399914805515173,True
Repeated CNOT,CNOT,1,6,0110,0.0,0.0834620077499176,0.0834620077499176,0.0834620077499176,False
Repeated CNOT,CNOT,1,7,0111,0.0,0.0018332526400830006,0.0018332526400830006,0.0018332526400830006,False
Repeated CNOT,CNOT,1,8,1000,0.0,0.0019122285522470168,0.0019122285522470168,0.0019122285522470168,False
Repeated CNOT,CNOT,1,9,1001,0.0,0.08279669781843195,0.08279669781843195,0.08279669781843195,False
Repeated CNOT,CNOT,1,10,1010,0.16666666666666666,0.08358973104975984,-0.08307693561690682,0.08307693561690682,True
Repeated CNOT,CNOT,1,11,1011,0.0,0.0017695598130834512,0.0017695598130834512,0.0017695598130834512,False
Repeated CNOT,CNOT,1,12,1100,0.16666666666666666,0.1634214653155989,-0.0032452013510677613,0.0032452013510677613,True
Repeated CNOT,CNOT,1,13,1101,0.0,0.0023233319534440226,0.0023233319534440226,0.0023233319534440226,False
Repeated CNOT,CNOT,1,14,1110,0.0,0.0022152787205003354,0.0022152787205003354,0.0022152787205003354,False
Repeated CNOT,CNOT,1,15,1111,0.16666666666666666,0.16223261888201523,-0.004434047784651424,0.004434047784651424,True
Repeated CNOT,CNOT,2,0,0000,0.16666666666666666,0.16597319831039958,-0.000693468356267074,0.000693468356267074,True
Repeated CNOT,CNOT,2,1,0001,0.0,0.0011269357222076916,0.0011269357222076916,0.0011269357222076916,False
Repeated CNOT,CNOT,2,2,0010,0.0,0.002042133518113181,0.002042133518113181,0.002042133518113181,False
Repeated CNOT,CNOT,2,3,0011,0.16666666666666666,0.17670941801847903,0.010042751351812373,0.010042751351812373,True
Repeated CNOT,CNOT,2,4,0100,0.0,0.010521944711224723,0.010521944711224723,0.010521944711224723,False
Repeated CNOT,CNOT,2,5,0101,0.16666666666666666,0.10366324751013863,-0.06300341915652803,0.06300341915652803,True
Repeated CNOT,CNOT,2,6,0110,0.0,0.019649607856948952,0.019649607856948952,0.019649607856948952,False
Repeated CNOT,CNOT,2,7,0111,0.0,0.006915065937885964,0.006915065937885964,0.006915065937885964,False
Repeated CNOT,CNOT,2,8,1000,0.0,0.014326795444830554,0.014326795444830554,0.014326795444830554,False
Repeated CNOT,CNOT,2,9,1001,0.0,0.011509059264086447,0.011509059264086447,0.011509059264086447,False
Repeated CNOT,CNOT,2,10,1010,0.16666666666666666,0.13344053717765716,-0.03322612948900949,0.03322612948900949,True
Repeated CNOT,CNOT,2,11,1011,0.0,0.008020465268596587,0.008020465268596587,0.008020465268596587,False
Repeated CNOT,CNOT,2,12,1100,0.16666666666666666,0.1744811966436405,0.00781452997697385,0.00781452997697385,True
Repeated CNOT,CNOT,2,13,1101,0.0,0.0039140567404122835,0.0039140567404122835,0.0039140567404122835,False
Repeated CNOT,CNOT,2,14,1110,0.0,0.004727791846755368,0.004727791846755368,0.004727791846755368,False
Repeated CNOT,CNOT,2,15,1111,0.16666666666666666,0.16297854602862336,-0.003688120638043302,0.003688120638043302,True
Repeated CNOT,CNOT,3,0,0000,0.16666666666666666,0.16778642857034848,0.0011197619036818207,0.0011197619036818207,True
Repeated CNOT,CNOT,3,1,0001,0.0,6.478552848268583e-05,6.478552848268583e-05,6.478552848268583e-05,False
Repeated CNOT,CNOT,3,2,0010,0.0,1.3273558637791333e-05,1.3273558637791333e-05,1.3273558637791333e-05,False
Repeated CNOT,CNOT,3,3,0011,0.16666666666666666,0.166991722424645,0.0003250557579783375,0.0003250557579783375,True
Repeated CNOT,CNOT,3,4,0100,0.0,1.1905501940212229e-05,1.1905501940212229e-05,1.1905501940212229e-05,False
Repeated CNOT,CNOT,3,5,0101,0.16666666666666666,0.16668683371699203,2.016705032537036e-05,2.016705032537036e-05,True
Repeated CNOT,CNOT,3,6,0110,0.0,9.98858207892722e-05,9.98858207892722e-05,9.98858207892722e-05,False
Repeated CNOT,CNOT,3,7,0111,0.0,3.2435866613578464e-06,3.2435866613578464e-06,3.2435866613578464e-06,False
Repeated CNOT,CNOT,3,8,1000,0.0,4.303872526802504e-05,4.303872526802504e-05,4.303872526802504e-05,False
Repeated CNOT,CNOT,3,9,1001,0.0,0.0001556894706320739,0.0001556894706320739,0.0001556894706320739,False
Repeated CNOT,CNOT,3,10,1010,0.16666666666666666,0.16301844054280867,-0.003648226123857984,0.003648226123857984,True
Repeated CNOT,CNOT,3,11,1011,0.0,1.3378348160997226e-05,1.3378348160997226e-05,1.3378348160997226e-05,False
Repeated CNOT,CNOT,3,12,1100,0.16666666666666666,0.16693705803851658,0.0002703913718499207,0.0002703913718499207,True
Repeated CNOT,CNOT,3,13,1101,0.0,2.284308639196866e-05,2.284308639196866e-05,2.284308639196866e-05,False
Repeated CNOT,CNOT,3,14,1110,0.0,1.852105514038899e-06,1.852105514038899e-06,1.852105514038899e-06,False
Repeated CNOT,CNOT,3,15,1111,0.16666666666666666,0.16814962097421093,0.0014829543075442764,0.0014829543075442764,True
Classical MLP,CLASSICAL,1,0,0000,0.16666666666666666,0.166575386578055,-9.128008861164494e-05,9.128008861164494e-05,True
Classical MLP,CLASSICAL,1,1,0001,0.0,6.018185533075808e-06,6.018185533075808e-06,6.018185533075808e-06,False
Classical MLP,CLASSICAL,1,2,0010,0.0,1.0274398994862164e-05,1.0274398994862164e-05,1.0274398994862164e-05,False
Classical MLP,CLASSICAL,1,3,0011,0.16666666666666666,0.16617805107888367,-0.0004886155877829867,0.0004886155877829867,True
Classical MLP,CLASSICAL,1,4,0100,0.0,1.8821484904100365e-05,1.8821484904100365e-05,1.8821484904100365e-05,False
Classical MLP,CLASSICAL,1,5,0101,0.16666666666666666,0.16707071412799493,0.00040404746132827185,0.00040404746132827185,True
Classical MLP,CLASSICAL,1,6,0110,0.0,7.758280242209005e-06,7.758280242209005e-06,7.758280242209005e-06,False
Classical MLP,CLASSICAL,1,7,0111,0.0,1.092452619502855e-05,1.092452619502855e-05,1.092452619502855e-05,False
Classical MLP,CLASSICAL,1,8,1000,0.0,5.6256620520979655e-06,5.6256620520979655e-06,5.6256620520979655e-06,False
Classical MLP,CLASSICAL,1,9,1001,0.0,9.439504539014042e-06,9.439504539014042e-06,9.439504539014042e-06,False
Classical MLP,CLASSICAL,1,10,1010,0.16666666666666666,0.16424458147883184,-0.0024220851878348215,0.0024220851878348215,True
Classical MLP,CLASSICAL,1,11,1011,0.0,9.13883790528898e-06,9.13883790528898e-06,9.13883790528898e-06,False
Classical MLP,CLASSICAL,1,12,1100,0.16666666666666666,0.16721184268213654,0.0005451760154698837,0.0005451760154698837,True
Classical MLP,CLASSICAL,1,13,1101,0.0,1.0404558948623845e-05,1.0404558948623845e-05,1.0404558948623845e-05,False
Classical MLP,CLASSICAL,1,14,1110,0.0,5.391742829234739e-06,5.391742829234739e-06,5.391742829234739e-06,False
Classical MLP,CLASSICAL,1,15,1111,0.16666666666666666,0.16862562687195445,0.0019589602052877964,0.0019589602052877964,True
Classical MLP,CLASSICAL,2,0,0000,0.16666666666666666,0.16510863870622683,-0.0015580279604398284,0.0015580279604398284,True
Classical MLP,CLASSICAL,2,1,0001,0.0,6.528514277173217e-06,6.528514277173217e-06,6.528514277173217e-06,False
Classical MLP,CLASSICAL,2,2,0010,0.0,7.572016289174217e-06,7.572016289174217e-06,7.572016289174217e-06,False
Classical MLP,CLASSICAL,2,3,0011,0.16666666666666666,0.16533292062070404,-0.0013337460459626194,0.0013337460459626194,True
Classical MLP,CLASSICAL,2,4,0100,0.0,6.8175820795648436e-06,6.8175820795648436e-06,6.8175820795648436e-06,False
Classical MLP,CLASSICAL,2,5,0101,0.16666666666666666,0.1671514991838706,0.00048483251720393694,0.00048483251720393694,True
Classical MLP,CLASSICAL,2,6,0110,0.0,5.468098738207357e-06,5.468098738207357e-06,5.468098738207357e-06,False
Classical MLP,CLASSICAL,2,7,0111,0.0,1.0983564027153526e-05,1.0983564027153526e-05,1.0983564027153526e-05,False
Classical MLP,CLASSICAL,2,8,1000,0.0,6.7650396878070175e-06,6.7650396878070175e-06,6.7650396878070175e-06,False
